age,male,female,all,city,district
40-44,213,176,389,Giresun,Güce
45-49,246,225,471,Giresun,Güce
50-54,299,271,570,Giresun,Güce
55-59,313,283,596,Giresun,Güce
60-64,274,299,573,Giresun,Güce
65-69,197,226,423,Giresun,Güce
70-74,135,177,312,Giresun,Güce
75+,246,400,646,Giresun,Güce
18-24,1106,1101,2207,Trabzon,Maçka
25-29,849,661,1510,Trabzon,Maçka
30-34,807,625,1432,Trabzon,Maçka
35-39,713,628,1341,Trabzon,Maçka
40-44,658,560,1218,Trabzon,Maçka
45-49,671,684,1355,Trabzon,Maçka
50-54,841,792,1633,Trabzon,Maçka
55-59,872,908,1780,Trabzon,Maçka
60-64,911,953,1864,Trabzon,Maçka
65-69,771,804,1575,Trabzon,Maçka
70-74,470,607,1077,Trabzon,Maçka
75+,787,1464,2251,Trabzon,Maçka
18-24,4701,4576,9277,Adıyaman,Besni
25-29,2481,2464,4945,Adıyaman,Besni
30-34,2582,2384,4966,Adıyaman,Besni
35-39,2659,2612,5271,Adıyaman,Besni
40-44,2296,2410,4706,Adıyaman,Besni
45-49,2187,2022,4209,Adıyaman,Besni
50-54,1924,1778,3702,Adıyaman,Besni
55-59,1729,1563,3292,Adıyaman,Besni
60-64,1471,1485,2956,Adıyaman,Besni
65-69,1208,1419,2627,Adıyaman,Besni
70-74,790,1069,1859,Adıyaman,Besni
75+,1174,1943,3117,Adıyaman,Besni
18-24,1605,1681,3286,Adana,İmamoğlu
25-29,870,815,1685,Adana,İmamoğlu
30-34,852,860,1712,Adana,İmamoğlu
35-39,1024,896,1920,Adana,İmamoğlu
40-44,929,889,1818,Adana,İmamoğlu
45-49,964,939,1903,Adana,İmamoğlu
50-54,953,980,1933,Adana,İmamoğlu
55-59,873,850,1723,Adana,İmamoğlu
60-64,674,697,1371,Adana,İmamoğlu
65-69,512,558,1070,Adana,İmamoğlu
70-74,311,430,741,Adana,İmamoğlu
75+,436,658,1094,Adana,İmamoğlu
18-24,1149,1361,2510,Konya,Yunak
25-29,678,714,1392,Konya,Yunak
30-34,693,602,1295,Konya,Yunak
35-39,751,660,1411,Konya,Yunak
40-44,665,602,1267,Konya,Yunak
45-49,676,682,1358,Konya,Yunak
50-54,754,764,1518,Konya,Yunak
55-59,699,657,1356,Konya,Yunak
60-64,557,680,1237,Konya,Yunak
65-69,530,624,1154,Konya,Yunak
70-74,347,449,796,Konya,Yunak
75+,389,599,988,Konya,Yunak
18-24,1903,1776,3679,Afyonkarahisar,Şuhut
25-29,1027,1074,2101,Afyonkarahisar,Şuhut
30-34,1167,1190,2357,Afyonkarahisar,Şuhut
35-39,1210,1110,2320,Afyonkarahisar,Şuhut
40-44,1189,1202,2391,Afyonkarahisar,Şuhut
45-49,1201,1191,2392,Afyonkarahisar,Şuhut
50-54,1180,1269,2449,Afyonkarahisar,Şuhut
55-59,1280,1349,2629,Afyonkarahisar,Şuhut
60-64,1017,1102,2119,Afyonkarahisar,Şuhut
65-69,792,980,1772,Afyonkarahisar,Şuhut
70-74,628,755,1383,Afyonkarahisar,Şuhut
75+,873,1257,2130,Afyonkarahisar,Şuhut
18-24,6365,6529,12894,İstanbul,Beşiktaş
25-29,6155,6931,13086,İstanbul,Beşiktaş
30-34,6923,7784,14707,İstanbul,Beşiktaş
35-39,7303,8664,15967,İstanbul,Beşiktaş
40-44,6634,7712,14346,İstanbul,Beşiktaş
45-49,5942,6991,12933,İstanbul,Beşiktaş
50-54,5072,6129,11201,İstanbul,Beşiktaş
55-59,4612,5557,10169,İstanbul,Beşiktaş
60-64,4000,5200,9200,İstanbul,Beşiktaş
65-69,3336,4223,7559,İstanbul,Beşiktaş
70-74,2596,3735,6331,İstanbul,Beşiktaş
75+,4400,7961,12361,İstanbul,Beşiktaş
18-24,885,840,1725,Adana,Feke
25-29,578,388,966,Adana,Feke
30-34,528,436,964,Adana,Feke
35-39,578,463,1041,Adana,Feke
40-44,571,467,1038,Adana,Feke
45-49,625,550,1175,Adana,Feke
50-54,535,479,1014,Adana,Feke
55-59,527,513,1040,Adana,Feke
60-64,501,481,982,Adana,Feke
65-69,380,407,787,Adana,Feke
70-74,304,362,666,Adana,Feke
