age,male,female,all,city,district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ
50-54,128,157,285,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
55-59,123,105,228,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
60-64,131,117,248,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
65-69,91,100,191,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
70-74,47,66,113,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
75+,89,131,220,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
18-24,1710,1672,3382,Balıkesir,Dursunbey,160.0,28959.0,26438.0,25552.0,17757.0,2385.0,51.0,97.0,104.0,1710.0,622.0,2381.0,411.0,29.0,5.0
25-29,853,872,1725,Balıkesir,Dursunbey,160.0,28959.0,26438.0,25552.0,17757.0,2385.0,51.0,97.0,104.0,1710.0,622.0,2381.0,411.0,29.0,5.0
30-34,933,910,1843,Balıkesir,Dursunbey,160.0,28959.0,26438.0,25552.0,17757.0,2385.0,51.0,97.0,104.0,1710.0,622.0,2381.0,411.0,29.0,5.0
35-39,1034,1146,2180,Balıkesir,Dursunbey,160.0,28959.0,26438.0,25552.0,17757.0,2385.0,51.0,97.0,104.0,1710.0,622.0,2381.0,411.0,29.0,5.0
40-44,1200,1203,2403,Balıkesir,Dursunbey,160.0,28959.0,26438.0,25552.0,17757.0,2385.0,51.0,97.0,104.0,1710.0,622.0,2381.0,411.0,29.0,5.0
45-49,1195,1212,2407,Balıkesir,Dursunbey,160.0,28959.0,26438.0,25552.0,17757.0,2385.0,51.0,97.0,104.0,1710.0,622.0,2381.0,411.0,29.0,5.0
50-54,1299,1380,2679,Balıkesir,Dursunbey,160.0,28959.0,26438.0,25552.0,17757.0,2385.0,51.0,97.0,104.0,1710.0,622.0,2381.0,411.0,29.0,5.0
55-59,1281,1330,2611,Balıkesir,Dursunbey,160.0,28959.0,26438.0,25552.0,17757.0,2385.0,51.0,97.0,104.0,1710.0,622.0,2381.0,411.0,29.0,5.0
60-64,1277,1381,2658,Balıkesir,Dursunbey,160.0,28959.0,26438.0,25552.0,17757.0,2385.0,51.0,97.0,104.0,1710.0,622.0,2381.0,411.0,29.0,5.0
65-69,1028,1265,2293,Balıkesir,Dursunbey,160.0,28959.0,26438.0,25552.0,17757.0,2385.0,51.0,97.0,104.0,1710.0,622.0,2381.0,411.0,29.0,5.0
